"Timestamp","What is your University?","What is your Studying Degree Programme?","Do you wish to do higher studies?","Place interest to work","How far should you hope live from work?","Expecting salary range?","Wish to work sector?","Wish to work industry field?","Wish to work industry field job?","In a Department which  position would u prefer?"
"2018/08/11 8:46:04 AM GMT+5:30","Sri Lanka Technological Campus","Electronics and Power systems engineering","Maybe","Home country","Geater than 30 km","Rs.100 000 to 150 000","Private","Engineering","","head"
"2018/08/12 10:07:54 PM GMT+5:30","SLIIT","Bsc (hons) in IT spec SE","Yes","Home country","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","other"
"2018/08/27 11:06:56 PM GMT+5:30","SLIIT","IT ","Yes","abroad","5 km to 10 km","Geater than Rs. 150 000","Private","IT","Software Engineer","head"
"2018/08/27 11:40:00 PM GMT+5:30","SLIIT","Bsc. (Hons) in Information Technology (Cyber Security)","Yes","abroad","Geater than 30 km","Geater than Rs. 150 000","Private","IT","Chief Informarion Security Officer","head"
"2018/08/28 1:49:50 AM GMT+5:30","SLIIT","B.sc special honurs in IT(specializing in IT)","Maybe","Home country","Geater than 30 km","Rs.25 000 to 50 000","Goverment","IT","Software Engineer","other"
"2018/08/28 4:41:35 AM GMT+5:30","NSBM","BSC(Hons) Events,Tourism & Hospitality mgt.","Maybe","abroad","Less than 5 km","Geater than Rs. 150 000","Private","Management","","other"
"2018/08/28 6:37:41 AM GMT+5:30","SLIIT","Information Technology","No","abroad","5 km to 10 km","Rs.50 000 to 100 000","Goverment","IT","Data Scientist","other"
"2018/08/28 7:25:35 AM GMT+5:30","SLIIT","Information Technology","No","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Web Developer","other"
"2018/08/28 9:37:59 AM GMT+5:30","Achievers Lanka business school","Cima","Yes","Home country","Less than 5 km","Rs.50 000 to 100 000","Private","Banking and Accounting","Lecturer","other"
"2018/08/28 10:07:58 AM GMT+5:30","SLIIT","IT","Maybe","abroad","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","other"
"2018/08/28 10:29:58 AM GMT+5:30","SLIIT","BSc(horns) in IT","Maybe","Home country","10 km to 30 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","group leader"
